movieId,title,year,vote_count,vote_average,wr
600,情人与枪,1994,74127,4.151341616415071,4.129692567637602
1170,黑带精英3,1995,37723,4.147655276621689,4.1061599309040275
546,超级马里奥兄弟,1993,36702,4.115838373930576,4.074628894942472
1291,夺宝奇兵3：圣战奇兵,1989,16929,4.158633114773465,4.069772086687744
1240,终结者,1984,18162,4.129335976214073,4.0484735453292675
112,红番区,1995,29133,4.083479216009336,4.033906456524962
360,我爱麻烦,1994,81491,4.048011436845787,4.030362108009391
1690,异形4,1997,27749,4.063227503693827,4.012476893488624
1264,歌剧红伶,1981,21085,4.069599241166706,4.003520766809605
1261,鬼玩人2,1987,25946,4.0433978262545285,3.990538026444485
1209,西部往事,1968,9456,4.1310807952622675,3.9867178309852465
1249,女囚尼基塔,1990,54917,3.996512919496695,3.972101651105255
798,十万火急,1996,28702,4.007664971082154,3.9615726167823238
996,终极悍将,1996,10279,4.065862437980348,3.9405822960051653
737,越空追击,1996,7719,4.103381267003498,3.9372711733039742
1833,终极密码战,1998,27826,3.9743764824265075,3.9288070659220993
3698,过关斩将,1987,44656,3.951473486205661,3.92328559672411
2048,妙妙探,1986,5880,4.127636054421768,3.9157188054708794
1215,鬼玩人3：魔界英豪,1993,4254,4.199341795956746,3.909051258205206
5006,玉蒲团之偷情宝鉴,1992,27181,3.954067179279644,3.9086590469571116
2802,破晓时刻,1988,18891,3.9699857074797524,3.904977662789665
1262,大逃亡,1963,7695,4.048278102664067,3.8915997163348224
1287,宾虚,1959,4823,4.141198424217293,3.8913188266086345
3030,用心棒,1961,27099,3.915679545370678,3.872378405918255
151,赤胆豪情,1995,48377,3.87355561527172,3.8500728738039802
1274,阿基拉,1988,8207,3.9752650176678443,3.8390875186332796
1769,血仍未冷,1998,33731,3.859743262873914,3.8272010252563065
980,皇家师姐,1985,5714,4.01058802940147,3.8204613527901268
163,杀人三步曲,1995,5633,4.008077401029647,3.816419621536673
2055,Hot Lead & Cold Feet,1978,6394,3.9812324053800436,3.8132233323825533
6,盗火线,1995,24588,3.854908898649748,3.8113468261852606
139425,糊涂隐形人,1983,5661,3.9915209326974033,3.804377242846261
479,夜惊魂,1993,8580,3.9152097902097904,3.793800708012573
519,机器战警3,1993,9940,3.8977364185110663,3.7930630472142965
7802,战士帮,1979,28502,3.8232229317240893,3.7870708050015955
1112,Palookaville,1996,19715,3.8345168653309663,3.782629354865046
3389,Let's Get Harry,1986,10412,3.880666538609297,3.7824474356953903
2421,龙威小子2,1986,6860,3.9168367346938777,3.7706454221522137
26223,加美拉对大魔兽加卡,1970,4832,3.9717508278145695,3.7658622060199365
2376,007：雷霆杀机,1985,16381,3.8179903546792016,3.7580569507049826
533,魅影奇侠,1994,10037,3.8492079306565707,3.752346678305202
7298,La mentale,2002,17528,3.7985794157918757,3.743920017374151
7307,冷血奇兵,1985,2786,4.086503948312994,3.743106306395697
169982,超凡战队,2017,8994,3.849455192350456,3.7430871927631726
2826,第十三个勇士,1999,32118,3.759075907590759,3.7299741253479914
1527,第五元素,1997,11158,3.810181036027962,3.7268775775774605
293,这个杀手不太冷,1994,3749,3.9737263270205387,3.7261285032735203
4270,木乃伊2：木乃伊归来,2001,2824,4.041961756373937,3.7180556354235526
2468,东西战争,1986,2463,4.089118960617133,3.717866739542
940,侠盗罗宾汉,1938,5167,3.893845558351074,3.7171197915743863
26764,美国队长,1990,8982,3.8155199287463817,3.714369659766959
8972,国家宝藏,2004,2917,4.009770311964347,3.7041706756781805
1110,爱的幸宠,1996,6751,3.8331358317286326,3.7017036786743427
1604,钱说话,1997,3598,3.9453863257365205,3.699707565156256
161026,谎话,2016,6043,3.8398146615919244,3.6948775269658465
174983,Mr In-Between,2001,9177,3.7867494824016563,3.691860392288145
3029,夜鹰,1981,3616,3.927129424778761,3.6880692278852987
3264,吸血鬼猎人巴菲,1992,2723,3.986962908556739,3.676578074660217
1129,纽约大逃亡,1981,3552,3.9089245495495497,3.672775147590115
98,疯狂追缉令,1994,2615,3.9862332695984706,3.668322128363741
1391,火星人玩转地球,1996,3968,3.875756048387097,3.666862302753199
1254,碧血金沙,1948,12457,3.7330416633218273,3.666544326323472
1304,虎豹小霸王,1969,2420,4.005371900826447,3.66449506436387
7017,巡弋悍将,1992,3677,3.885504487353821,3.6622030077446395
8259,卖命生涯,1978,2585,3.972340425531915,3.657656540493771
998,辣姐妹,1996,2892,3.928077455048409,3.6507831148017154
7657,千年决斗,2000,3890,3.853598971722365,3.6484509883695306
5001,孤城虎将,1943,3719,3.8570852379671954,3.64435214843388
4985,森林女王,1984,3074,3.896063760572544,3.6406908011241486
353,乌鸦,1994,27766,3.6551898004754015,3.6277014639316136
303,致命快感,1995,18997,3.66378901931884,3.6239436948765156
7143,最后的武士,2003,2583,3.915795586527294,3.623218664990411
1387,大白鲨,1975,4095,3.793162393162393,3.612856080268246
3432,猛龙怪客3,1985,6314,3.728777320240735,3.6120516596991585
7164,小飞侠彼得潘,2003,1843,3.9877916440586003,3.5994026202364475
2411,洛奇4,1985,2250,3.911111111111111,3.595720655475793
6946,华纳巨星总动员,2003,4020,3.7648009950248755,3.5904672392493775
1127,深渊,1989,11377,3.6508745715039113,3.5894278564711226
26834,费城实验2,1993,4764,3.7296389588581023,3.5845968544904285
2058,王牌对王牌,1998,5038,3.7211194918618498,3.5841233143185027
4161,墨西哥人,2001,1919,3.9405940594059405,3.5824213110252416
194398,一周不死，全额退款,2018,1693,3.987891317188423,3.5821622786431275
1744,风暴大火,1998,7964,3.6671898543445507,3.5811519834924024
3443,Born American,1986,4438,3.7329878323569177,3.5792943840213525
1320,异形3,1992,2577,3.842840512223516,3.57860478244702
1525,五行战士,1997,4630,3.723110151187905,3.5767216766554863
1720,Time Tracers,1995,2409,3.855541718555417,3.5752282718118553
1220,福禄双霸天,1980,14748,3.6195416327637644,3.573904531164618
349,燃眉追击,1994,9531,3.642062742629315,3.571813050454178
377,生死时速,1994,3265,3.76906584992343,3.5666486383737714
3184,杀手情人,1998,7022,3.6525206493876388,3.559992364303798
2410,洛奇3,1982,13844,3.6027882114995666,3.5563025167946805
6138,Tag: The Assassination Game,1982,2042,3.843535749265426,3.5409685837080875
251,黑色追杀令,1995,4542,3.675253192426244,3.539694709516942
137930,Bermude: la fossa maledetta,1978,9116,3.606186924089513,3.5388085672936658
3864,哥斯拉2000,1999,1975,3.847088607594937,3.537338440505054
3623,碟中谍2,2000,2589,3.765353418308227,3.532315276799398
2429,无敌大猩猩,1998,13600,3.5756617647058824,3.531410383445063
174433,The Black Connection,1974,5941,3.6318801548560846,3.530763460191162
2115,夺宝奇兵2：魔域奇兵,1984,22990,3.554849934754241,3.5288585923223557
2246,星条旗,1988,7846,3.5964185572266123,3.5217736685772656
4210,孽欲杀人夜,1986,11508,3.5717761557177616,3.5209973591259485
2531,决战猩球,1973,6165,3.614030819140308,3.5196186371898075
1208,现代启示录,1979,3026,3.7047257105089226,3.5149578048783927
3959,时空大挪移,1960,2093,3.7790253225035833,3.509242208749444
5349,蜘蛛侠,2002,18215,3.540186659346692,3.509191790505452
181,美版恐龙战队 电影版,1995,8366,3.5757829309108295,3.5084479389050585
1722,007：明日帝国,1997,13496,3.547347362181387,3.5059211187195274
1383,星际奇兵总动员,1996,2265,3.7448123620309053,3.501354234957161
3628,飞虎队,1942,7989,3.569032419576918,3.5002418504831825
7007,终极尖兵,1991,1920,3.7760416666666665,3.4946717777945038
4434,第十个牺牲者,1965,14239,3.5290399606713954,3.49147602835368
7309,黑海盗,1926,2509,3.694101235552013,3.4851477951116157
384,轰天杀手,1995,41673,3.4922731744774795,3.4799037029730555
26828,Mr. Nanny,1993,4637,3.5848609014448996,3.475344122289124
2409,洛奇2,1979,4298,3.59050721265705,3.473191882307873
2019,七武士,1954,3058,3.6345650752125573,3.4709229430677926
151613,失鞋战场,2014,1677,3.764758497316637,3.4686400613288466
4448,大买卖,2001,1713,3.7483946293053125,3.463514952988775
4594,再见国王,1989,3399,3.6050308914386586,3.4621384682311063
1667,危机最前线,1997,2369,3.6587167581257916,3.457195229559538
6013,Kangaroo Jack,2003,1733,3.7319676860934794,3.456836270798426
4351,惊爆点,1991,1687,3.738885595732069,3.4565432543438646
2126,蛇眼,1998,2718,3.6317144959529064,3.4564986304524288
26204,死神骑马来,1967,9253,3.496595698692316,3.4468715191739854
5423,天王流氓,2000,1966,3.678789420142421,3.445732918312144
190305,炼狱信使,2018,1836,3.6889978213507626,3.4424432244790326
192793,金属风暴,2011,3924,3.529816513761468,3.422833651464209
3827,太空牛仔,2000,2817,3.569400070997515,3.421292914421185
95,断箭,1996,3760,3.5279255319148937,3.418298429412875
1831,迷失太空,1998,1688,3.6596563981042656,3.4168759902687413
171207,天际浩劫2,2017,1958,3.621297242083759,3.4142465280817067
195339,恶魔,2018,3757,3.5196965664093693,3.412547867202885
7313,火鸟出击,1990,3936,3.5142276422764227,3.4121298520526255
1382,死亡标记,1990,9765,3.44905273937532,3.4085197250039467
10,007：黄金眼,1995,28265,3.42145763311516,3.407513929931805
511,The Program,1993,3109,3.5279832743647477,3.4034224059974414
2521,国际机场1975,1974,4605,3.487296416938111,3.4032600346515354
199640,രാജമാണിക്യം,2005,2332,3.5668953687821614,3.4019153731314624
3805,飞车敢死队,1981,2129,3.580554250821982,3.400756183754705
2817,铁鹰战士3：死亡陷阱,1992,6489,3.4571582678378796,3.398699093940304
1134,Johnny cien pesos,1993,20453,3.4163203442037844,3.397843483404889
4751,亡命大捕头,1980,3720,3.495295698924731,3.3949925101290033
207263,ஜுங்கா,2018,5708,3.453398738612474,3.389610202814062
2535,大地震,1974,8231,3.4311140809136194,3.3873405314875904
86,巨浪,1996,3921,3.4766641162968632,3.385542855908128
2890,夺金三王,1999,2185,3.5411899313501145,3.3810891339048412
1610,猎杀红色十月,1990,1973,3.557526609224531,3.3806208093550048
145,绝地战警,1995,4097,3.4649743714913352,3.3800252159317137
7300,粉身碎骨,1971,3677,3.4721240141419636,3.378271300792049
284,New York Cop,1993,10402,3.409440492213036,3.3765430505414757
504,捍卫时空战士,1994,34194,3.3863104638240626,3.3763141080573438
165,虎胆龙威3,1995,4011,3.4522562951882323,3.369771350996968
7040,威猛奇兵,1985,2003,3.5317024463305042,3.3680049958308835
2194,铁面无私,1987,3121,3.461550785004806,3.3605156088006325
1210,星球大战6：绝地归来,1983,2931,3.4593995223473217,3.354980592451308
5155,大鸟笼,1972,2996,3.456608811748999,3.3546437765731008
7302,月宫宝盒,1924,2191,3.484025559105431,3.3489521595025478
2582,双龙会,1992,3175,3.433228346456693,3.343104584585925
178013,马永贞,1972,13716,3.3622776319626713,3.3415995934136427
2275,吉它武士,1998,13011,3.363192683114288,3.3414176492544736
3654,纳瓦隆大炮,1961,4002,3.399175412293853,3.3322304842315007
3753,爱国者,2000,2834,3.4257233592095977,3.331575377274777
175479,名侦探柯南：唐红的恋歌,2017,3651,3.4024924678170363,3.3300930250516485
2105,电子世界争霸战,1982,13181,3.342348835444959,3.323174820739844
208,未来水世界,1995,5018,3.3732562774013553,3.3229621148512423
6196,龙潭虎穴,2003,3466,3.3874783612233124,3.3173688514429367
3267,杀手悲歌,1992,3280,3.3910060975609757,3.3170723875514803
2571,黑客帝国,1999,3164,3.3919089759797725,3.3158907490414338
2528,逃离地下天堂,1976,9465,3.33851030110935,3.3135187302906415
160,刚果惊魂,1995,2209,3.4178361249434133,3.3119466674371116
70,杀出个黎明,1996,14118,3.326568919110356,3.310207262172679
2344,逃亡列车,1985,1703,3.4421608925425717,3.3083498791679453
2353,国家公敌,1998,4483,3.353000223064912,3.3038506318245533
1427,插翅难飞,1997,16206,3.3126619770455386,3.299514471304755
485,幻影英雄,1993,4993,3.337772882034849,3.296209191480516
675,Hostile Intentions,1994,3042,3.360618014464168,3.293751606828619
494,最高危机,1996,2935,3.3599659284497445,3.2917850504532584
1681,真人快打2,1997,14737,3.304844948089842,3.2913191405595517
292,极度恐慌,1995,2963,3.3515018562267973,3.2867908741777287
2405,尼罗河之宝,1985,4290,3.3194638694638696,3.2781472213831044
2816,铁鹰战士2,1988,24867,3.282000241283629,3.275079212974229
7458,特洛伊,2004,10816,3.2867511094674557,3.2714080226105597
227,终极特区,1994,11592,3.2840320910973086,3.269929877126116
380,真实的谎言,1994,10374,3.2755446308077887,3.2611977678467237
2193,风云际会,1988,2498,3.309047237790232,3.2541772665916433
7562,密码太保,1997,1995,3.3210526315789473,3.2531834127744603
3744,杀戮战警,2000,9095,3.265695437053326,3.2511778953209567
1047,特工狂花,1996,6804,3.2586713697824807,3.241620393101759
376,狂野之河,1994,7415,3.2500337154416723,3.2357214050267458
3000,幽灵公主,1997,1777,3.2943162633652223,3.235141478444476
2540,边缘战士,1999,2298,3.2780678851174936,3.233503819862156
196761,亡命天涯路,2002,4571,3.2498359221176987,3.229061302567493
548,终极速度,1994,11396,3.2368374868374867,3.2285760519613964
2402,第一滴血2,1985,10937,3.23630794550608,3.227816257445269
7704,三角突击队,1986,1756,3.2801822323462413,3.2275485321233406
