movieId,title,year,vote_count,vote_average,wr
2123,快乐神仙狗,1989,13367,4.25476920775043,4.248578471518316
2048,妙妙探,1986,5880,4.127636054421768,4.115397296590893
616,猫儿历险记,1970,47823,4.111421282646425,4.1099257532769355
2294,蚁哥正传,1998,5457,4.1165475536008795,4.103536165579328
7304,从容的快板,1977,50797,4.0903399807075225,4.088965432701332
126072,卖火柴的小女孩,2006,935,4.066310160427808,3.999392997025903
126030,Sleeping Betty,2007,1476,4.038956639566396,3.9967137347323813
2899,小人国,1939,5875,3.9833191489361703,3.973032787941289
1274,阿基拉,1988,8207,3.9752650176678443,3.967951651179816
588,阿拉丁,1992,1756,3.9786446469248293,3.945499882949547
596,木偶奇遇记,1940,57379,3.94637410899458,3.9453599597107263
3754,波波鹿与飞天鼠,2000,887,4.0,3.935313310928014
1282,幻想曲,1940,4013,3.9330924495389983,3.919121466775359
26093,童话世界,1962,931,3.976906552094522,3.916880716381737
198411,Shuffle Off to Buffalo,1933,1896,3.935126582278481,3.9061119296804843
5146,吸血鬼猎人D,2000,701,3.970756062767475,3.893712640637235
1,玩具总动员,1995,57309,3.893707794587238,3.892766741330864
139493,寻找隐世快乐,2013,530,3.959433962264151,3.8623294353163953
184409,Weeds,2017,14356,3.8518737809974923,3.848367616885663
8574,Claymation Christmas Celebration,1987,1058,3.895557655954631,3.8480099077948355
7174,酷狗上学记,2004,825,3.903030303030303,3.842586407260836
610,宇宙奇趣录,1981,297,3.9764309764309766,3.815828796238936
3799,精灵宝可梦：梦幻之神奇宝贝 洛奇亚爆诞,2000,420,3.9154761904761903,3.8041582534497356
125982,Trick or Treat,1952,398,3.920854271356784,3.8035141648816655
4158,蹦蹦猴,2001,17023,3.7975386242142983,3.7948364876624368
181833,I'm No Fool with Fire,1955,2913,3.805870236869207,3.79020817801547
193799,鲁邦三世：次元大介的墓碑,2014,1151,3.8258036490008687,3.7864312378070757
6946,华纳巨星总动员,2003,4020,3.7648009950248755,3.754177831011538
140491,"Puff, the Magic Dragon",1978,4973,3.7541725316710237,3.7457228502133595
3945,数码宝贝：剧场版,2000,634,3.807570977917981,3.741794804165479
131058,圣诞老人的学徒,2010,3954,3.749494183105716,3.7390045315931397
3114,玩具总动员2,1999,425,3.8329411764705883,3.735935345806952
26448,Pelle Svanslös,1981,11432,3.7374912526242126,3.73389935594357
174703,I Am So Proud of You,2008,642,3.79595015576324,3.7322037136629564
2800,小尼莫梦乡历险记,1992,2705,3.743992606284658,3.728960260221937
1566,大力士,1997,13905,3.7289104638619204,3.7260033808793307
187325,小鸟派,1947,2852,3.7203716690042077,3.7067450681821743
126006,Rudolph the Red-Nosed Reindeer,1948,297,3.82996632996633,3.7007494311595703
595,美女与野兽,1991,43373,3.6987526802388584,3.6978732288161806
184461,乐高DC超级英雄：闪电侠,2018,333,3.809309309309309,3.6953702535708155
125924,Der Perückenmacher,1999,822,3.732968369829684,3.6875783886803077
198407,Pettin' in the Park,1934,272,3.8216911764705883,3.6852217704768204
129826,乐高DC超级英雄：正义联盟大战异魔联盟,2015,225,3.848888888888889,3.684259101236332
126088,摩登原始人之摔跤赛攻击波,1994,206,3.8567961165048543,3.6790358361613853
188079,Сказка о золотом петушке,1967,507,3.7238658777120315,3.655413749963125
4090,The Brave Little Toaster,1987,435,3.7344827586206897,3.6548125677874372
197837,My Favorite Duck,1942,341,3.7551319648093844,3.6537518601381933
179173,Rabbit of Seville,1950,358,3.7458100558659218,3.6500758199961676
7374,母牛总动员,2004,380,3.7263157894736842,3.63857545548442
8360,怪物史瑞克2,2004,265,3.762264150943396,3.636945910341958
