movieId,title,year,vote_count,vote_average,wr
881,第一公子,1996,52498,4.324336165187245,4.269983341610107
3071,为人师表,1988,58773,4.228310618821568,4.1836266634034205
2681,Free Enterprise,1998,72674,4.154099127610975,4.12025644564934
600,情人与枪,1994,74127,4.151341616415071,4.118234081654337
937,黄昏之恋,1957,26890,4.206563778356267,4.115558810325653
1234,骗中骗,1973,57361,4.144122313069856,4.1020788045009935
4352,来电的感觉,1989,41195,4.1499575191163975,4.0920552101406376
1236,信任,1990,54675,4.123923182441701,4.080836415726514
2123,快乐神仙狗,1989,13367,4.25476920775043,4.078910591300387
1235,哈洛与慕德,1971,37863,4.129097007632781,4.067785638356883
6153,脸红心跳,1982,19894,4.18158741329044,4.06523470098218
546,超级马里奥兄弟,1993,36702,4.115838373930576,4.053604140025516
7304,从容的快板,1977,50797,4.0903399807075225,4.04577958448049
5102,金臂小子,1993,34320,4.101282051282051,4.03607241047938
1247,毕业生,1967,26370,4.114713689799014,4.030409697583656
6089,Jönssonligan & DynamitHarry,1982,51138,4.0680511556963515,4.024863985560892
296,低俗小说,1994,33680,4.0885985748218525,4.0231585921517885
360,我爱麻烦,1994,81491,4.048011436845787,4.02103387508171
112,红番区,1995,29133,4.083479216009336,4.00909556855634
1273,不法之徒,1986,15675,4.142360446570973,4.0048296536449035
7627,Just Write,1997,33225,4.066350639578631,4.001712729797624
178973,他不会死,1986,22943,4.093231050865188,3.9998401360609837
4135,降妖别动队,1987,25101,4.063324170351779,3.980037921521116
1243,君臣人子小命呜呼,1990,13173,4.136035830866166,3.9777848417883823
169744,Zombie Pizza,2017,9177,4.200392285060477,3.974247259453218
1261,鬼玩人2,1987,25946,4.0433978262545285,3.964408847661532
763,告别17岁,1996,12241,4.104362388693734,3.941797447527138
947,我的戈弗雷,1936,7368,4.20650108577633,3.9378349474571053
1238,地方英雄,1983,31684,3.9993372048983713,3.9369346244972636
204566,女人，四十,1995,27374,4.004931687002265,3.9330748755082015
1269,毒药与老妇,1944,16371,4.042453118318979,3.9237928449438795
1317,I'm Not Rappaport,1996,11533,4.089829185814619,3.921837873455493
194610,海上浮城,2018,18474,4.026144852224748,3.9213414659854817
130916,Max et Jérémie,1992,11987,4.080128472511888,3.919100536299329
1113,神秘大亨,1996,22484,3.9880581747020103,3.903978166021246
935,篷车队,1953,11549,4.060091782838341,3.8978075909466567
1307,当哈利遇到莎莉,1989,8851,4.098406959665574,3.889210210731893
5006,玉蒲团之偷情宝鉴,1992,27181,3.954067179279644,3.88623412181751
1,玩具总动员,1995,57309,3.893707794587238,3.862619480140534
2915,乖仔也疯狂,1983,12980,3.990523882896764,3.8548402818284284
1285,希德姐妹帮,1989,24954,3.9223771740001605,3.8520903258881134
1279,地球之夜,1991,38612,3.8968066922200353,3.851427191029353
248,家有贵客糗事多,1994,9739,4.028236985316767,3.8489823475847693
951,女友礼拜五,1940,5068,4.169692186266772,3.8333435043023245
955,育婴奇谭,1938,5062,4.161201106282102,3.827494038687586
4388,惊声尖笑2,2001,14900,3.9373825503355704,3.824534347134995
1256,鸭羹,1933,5220,4.142049808429118,3.8214764539069668
1281,大独裁者,1940,11608,3.960027567195038,3.8169050944324456
2294,蚁哥正传,1998,5457,4.1165475536008795,3.813663654750692
1215,鬼玩人3：魔界英豪,1993,4254,4.199341795956746,3.811897115413739
58,邮差,1994,10483,3.9679004101879234,3.8109205154509374
1300,狗脸的岁月,1985,4636,4.1606988783434,3.8076113443819457
4151,他人的品味,2000,23259,3.8768003783481664,3.806543516401066
4120,Hunk,1987,27905,3.8524278803081886,3.794960428334543
5422,皇帝的新装,2001,4721,4.126879898326625,3.7899771000576163
7250,老公出差,1970,5300,4.087735849056604,3.788414025926566
1699,屠夫男孩,1997,18647,3.867109990883252,3.782823180732381
368,赌侠马华力,1994,42745,3.817136507193824,3.780509776966317
2302,我的表兄维尼,1992,15976,3.876533550325488,3.7788150502296767
267,派恩少校,1995,10781,3.921667748817364,3.7772451267240976
934,岳父大人,1950,5621,4.033357053904999,3.763016437181725
5092,超级大骗子,2002,31775,3.80918961447679,3.7614925198983777
234,勇闯快活岛,1994,5620,4.027935943060498,3.7592911937490725
3622,12把椅子,1970,5752,4.02173157162726,3.7592641822287485
1112,Palookaville,1996,19715,3.8345168653309663,3.758095929455992
4361,窈窕淑男,1982,6341,3.9949534773695,3.7575692866276853
310,Rent-a-Kid,1995,6616,3.981408706166868,3.7549379949847084
939,春闺初恋,1958,9692,3.9047152290548905,3.75114920389707
6687,今夜恋出事,2003,37227,3.7892121309802027,3.749358011932952
2055,Hot Lead & Cold Feet,1978,6394,3.9812324053800436,3.7492422869389026
2396,莎翁情史,1998,10979,3.881956462337189,3.7473116561075384
1270,回到未来,1985,7377,3.943201843567846,3.7439959671886087
139425,糊涂隐形人,1983,5661,3.9915209326974033,3.7357587602054507
183567,F*&% the Prom,2017,19157,3.8111395312418437,3.735584341822269
193371,女主角,2018,10328,3.8751936483346245,3.7351579319101473
2504,200支香烟,1999,24063,3.7905082491792377,3.730872542130201
3803,墨西哥人的宫殿,1972,5323,3.999060680067631,3.7299360874558207
137654,Una storia moderna - L'ape regina,1963,14317,3.8293636935112105,3.7294023861000474
3852,The Tao of Steve,2000,4531,4.043698962701391,3.728415476071432
180627,Going Places,1938,12257,3.844497022109815,3.7280300671429067
1594,与男人同行,1997,33153,3.7699454046390977,3.7269704795334113
975,歌唱幸福,1937,3318,4.153254972875226,3.7252330878506634
1436,曾经深爱过,1980,24188,3.782392095253845,3.7238305544436257
3599,起锚,1945,17019,3.8059227921734533,3.7228453760622697
936,妮诺契卡,1939,4259,4.047311575487203,3.718201979626066
1021,Angels in the Outfield,1994,4844,4.003922378199835,3.7158410220232243
4158,蹦蹦猴,2001,17023,3.7975386242142983,3.715600470114155
945,礼帽,1935,14668,3.809824106899373,3.7148628036085087
1887,鬼马双镖客,1998,23145,3.7748541801685027,3.714692413082852
6957,圣诞坏公公,2003,9609,3.8577375377250496,3.7132280751326467
2444,TwentyFourSeven,1997,8551,3.8752777452929483,3.7129683097499195
1288,摇滚万万岁,1984,8816,3.867116606170599,3.7104404332684195
958,Lady of Burlesque,1943,4827,3.994820799668531,3.7092935960879054
6039,红衣女郎,1984,10944,3.8351608187134505,3.7092384264916096
216,阿呆闯学堂,1995,6582,3.914843512610149,3.7065463627074346
7020,情如物证,1991,11552,3.8187326869806095,3.701255844294127
2356,名人百态,1998,8827,3.8504588195309846,3.697758041510176
1321,美国狼人在伦敦,1981,3181,4.12071675573719,3.69733510661108
2124,亚当斯一家,1991,7103,3.8842742503167678,3.6953884980094105
927,女人们,1939,10145,3.826515524889108,3.694498406357514
597,风月俏佳人,1990,41615,3.7256878529376425,3.6935635230218233
1091,老板度假去,1989,9319,3.8360339092177274,3.692795953106577
1292,富贵逼人来,1979,6078,3.9118130964132938,3.6923770398006197
3422,稳操胜券,1986,3170,4.110567823343849,3.690986319535183
1527,第五元素,1997,11158,3.810181036027962,3.690979160172862
2171,缘来就是你,1998,5574,3.9281485468245427,3.689995324756075
2408,魔茧续集,1988,6181,3.8957288464649733,3.6836599681824325
2053,亲爱的，我把孩子放大了,1992,3492,4.048539518900344,3.6776762436099295
6650,仁心与冠冕,1949,16372,3.7555582702174446,3.676625355976614
3310,寻子遇仙记,1921,4531,3.960935775766939,3.6760558000032946
2709,太空木偶历险记,1999,13275,3.7711487758945386,3.674268303761071
195849,饺子公主,2018,18306,3.7328471539385992,3.6640593991318524
2796,滑稽农场,1988,5456,3.8936033724340176,3.663214002673871
3200,特殊任务,1973,3562,3.9983155530600785,3.652981049511318
478,星路急转弯,1994,17996,3.7212436096910424,3.6529021011113394
3308,冲击,1984,2805,4.086631016042781,3.6504620381941866
5577,伊比的堕落,2002,30195,3.6899983440967046,3.6495586315610673
3617,哈啦上路,2000,9852,3.7730917580186762,3.6492358919829844
6015,大腕,2001,3787,3.9669923422233957,3.6466051168001865
4091,爱是非卖品,1987,8973,3.780396745792934,3.645502554259186
1166,Farmer & Chase,1997,2879,4.06512678013199,3.6450837821458437
2238,七美人,1976,3135,4.029346092503987,3.644278813670412
1566,大力士,1997,13905,3.7289104638619204,3.6424414392612245
1376,星际旅行4：抢救未来,1986,11707,3.7450243444093276,3.642342839979327
151601,我的初恋情人,2009,9575,3.7655352480417754,3.6404974307409144
1271,油炸绿番茄,1991,2665,4.079924953095685,3.635557333765785
191029,荒川爆笑团,2012,6681,3.812228708277204,3.635138707004252
751,Careful,1992,31979,3.6686106507395477,3.6318812955684363
1657,Wonderland,1997,21638,3.684536463628801,3.630430245977321
195,爱情魔力,1995,5459,3.8442938267081885,3.630026160645686
4270,木乃伊2：木乃伊归来,2001,2824,4.041961756373937,3.6288563958980005
7405,巴厘岛之路,1952,15645,3.7028124001278364,3.628332875882228
1604,钱说话,1997,3598,3.9453863257365205,3.624403859307047
559,法国巴黎,1993,14333,3.703341938184609,3.6230200211992214
860,衣柜里的男人,1994,7420,3.7754716981132077,3.6210239418588794
2050,金龟车大闹南美洲,1980,8547,3.752076752076752,3.61870742884448
1257,再见人生,1985,2731,4.035884291468327,3.6185959790420736
2838,黑色变奏曲,1998,5170,3.8365570599613155,3.616960856252224
2059,天生一对,1998,4153,3.882855766915483,3.6123837912181007
513,Radioland Murders,1994,15998,3.6811163895486936,3.611112332364786
1311,超级圣诞老人,1996,8580,3.741083916083916,3.610686971690625
1297,天才反击,1985,5110,3.828082191780822,3.60966433789221
322,与鲨同游,1995,6727,3.775382785788613,3.6095225090429146
1937,与我同行,1944,4201,3.8734825041656746,3.608520439054976
5194,谁在那儿歌唱？,1980,6323,3.783409773841531,3.6077073530962247
7173,遇见波莉,2004,6008,3.791361517976032,3.6068308414890144
1830,Follow the Bitch,1996,12436,3.69532003859762,3.6062860316999803
6091,激情迷宫,1982,5274,3.8152256351915055,3.6056181707303727
193795,Forgiving the Franklins,2006,3387,3.92987894892235,3.6044220072488526
3626,八又二分一女人,1999,3421,3.9225372698041507,3.60210040311031
5139,少棒闯天下,1976,13454,3.6828080868143305,3.6014554951584454
1136,巨蟒与圣杯,1975,5806,3.78961419221495,3.601210340123693
1391,火星人玩转地球,1996,3968,3.875756048387097,3.6005321472380056
361,倾城佳话,1994,26709,3.6408326781234788,3.5999969883988956
7294,Welcome to Mooseport,2004,15759,3.668189605939463,3.599125157130157
568,海边的吧唧,1993,5787,3.7871954380508037,3.599122314044143
435,尖头外星族,1993,8879,3.719788264444194,3.597646536891711
432,城市乡巴佬2,1994,4785,3.823092998955068,3.596873198438996
237,忘情巴黎,1995,15582,3.664388396868181,3.5952018689740073
11,美国总统,1995,17042,3.6571705198920315,3.5940838529773593
4349,第二十二条军规,1970,9000,3.713,3.5936644862542853
3264,吸血鬼猎人巴菲,1992,2723,3.986962908556739,3.59309145304886
2426,The Theory of Flight,1998,4404,3.8333333333333335,3.59103221600904
274,Man of the House,1995,7136,3.7400504484304933,3.59065338790044
4138,My Demon Lover,1987,12718,3.673926718037427,3.590195559295302
1277,大鼻子情圣,1990,2944,3.9487092391304346,3.5885043299773263
26479,彭赞斯的海盗,1983,10723,3.6867014827939943,3.587944558905466
4452,搞定,2001,3975,3.851320754716981,3.5861204419654245
