movieId,title,year,vote_count,vote_average,wr
50,非常嫌疑犯,1995,55366,4.284353213163313,4.266064276022734
1260,M就是凶手,1931,34188,4.2617585117585115,4.233043676778912
1252,唐人街,1974,32663,4.1805253650920005,4.152768412653187
933,捉贼记,1955,16850,4.196617210682493,4.143335141222359
600,情人与枪,1994,74127,4.151341616415071,4.139281080975123
1234,骗中骗,1973,57361,4.144122313069856,4.128708987635139
296,低俗小说,1994,33680,4.0885985748218525,4.064140843137777
112,红番区,1995,29133,4.083479216009336,4.055482155443864
6089,Jönssonligan & DynamitHarry,1982,51138,4.0680511556963515,4.052162123939354
130916,Max et Jérémie,1992,11987,4.080128472511888,4.015225778825277
6132,纽约杀人狂,1982,17070,4.047393087287639,4.002513229220641
2048,妙妙探,1986,5880,4.127636054421768,3.9980560244194923
996,终极悍将,1996,10279,4.065862437980348,3.992264424319499
111,出租车司机,1976,59184,4.002272573668559,3.9895333245245896
1267,满洲候选人,1962,10712,4.052931292008962,3.983107713874515
1249,女囚尼基塔,1990,54917,3.996512919496695,3.982896863070421
1248,历劫佳人,1958,5607,4.107454967005529,3.975352718166524
1245,米勒的十字路口,1990,29856,3.9841907824222935,3.9598668881719625
5827,The Young Americans,1993,4835,4.100206825232679,3.951605445244997
36,死囚漫步,1995,19388,3.91868681658758,3.884848698924874
1284,夜长梦多,1946,6239,3.966821606026607,3.8646898728682366
1271,油炸绿番茄,1991,2665,4.079924953095685,3.8470248789458914
479,夜惊魂,1993,8580,3.9152097902097904,3.8432780347783764
1769,血仍未冷,1998,33731,3.859743262873914,3.8414957291436176
519,机器战警3,1993,9940,3.8977364185110663,3.836302735148612
26784,四海本色,1992,30562,3.854885151495321,3.834945949898005
6,盗火线,1995,24588,3.854908898649748,3.8303018354020337
3272,坏中尉,1992,12769,3.869057874539901,3.822263262887421
293,这个杀手不太冷,1994,3749,3.9737263270205387,3.815925990377316
7802,战士帮,1979,28502,3.8232229317240893,3.80289433695148
1313,枪后算账,1996,2763,4.007962359753891,3.7994325209017625
6957,圣诞坏公公,2003,9609,3.8577375377250496,3.79792316384996
3147,绿里奇迹,1999,2370,4.035232067510549,3.794191459170999
16,赌城风云,1995,18404,3.8237068028689416,3.792740221075013
970,战胜恶魔,1953,2029,4.040906850665352,3.7703470761322233
7298,La mentale,2002,17528,3.7985794157918757,3.7674164256252256
4034,毒品网络,2000,10677,3.816896131872249,3.7658723606902145
