movieId,title,year,vote_count,vote_average,wr
200810,"Hi, A.I.",2019,41519,4.166538211421277,4.160853345453059
3142,U2：美国巡演,1988,3996,4.1791791791791795,4.122457138244364
1122,Plutonium Circus,1995,34634,4.092293699832535,4.0860060286185025
1289,失衡生活,1983,12634,4.095140098147855,4.07805701709552
1797,珠穆朗玛峰,1998,38947,4.074935168305646,4.06944753300901
5137,Scratch,2001,2045,4.075794621026895,3.981746730518176
1319,Kids of Survival,1996,15594,3.9849621649352316,3.9727691795779836
178031,Basic Training,1971,19868,3.979917455204349,3.97037680320983
146279,我听起来Gay吗？,2015,11921,3.9812515728546263,3.9654515631858698
137761,寻味“左宗棠鸡”,2014,11462,3.9784505321933343,3.9620893786225952
1310,大肆宣传！,1996,49595,3.9538763988305274,3.9501538607547526
759,林璎：强烈而清晰的洞察力,1994,8381,3.9678439327049277,3.9459383496992584
191125,Leuchtturm des Chaos,1983,20474,3.919385562176419,3.9108368696860754
2930,Return with Honor,1998,3491,3.9580349470065883,3.908090566574593
2064,罗杰和我,1989,27813,3.900244489986697,3.894098380659233
1123,A Perfect Candidate,1996,16796,3.9036080019052157,3.8934400390936683
683,维希之目,1993,740,4.111486486486487,3.883860026581407
168998,Curse of the Man Who Sees UFOs,2016,8551,3.89065606361829,3.871315323042195
4453,极限乔丹,2000,4107,3.9110056001947893,3.870769539452104
1443,A Tickle in the Heart,1996,15470,3.8756302521008403,3.865038708550089
174079,朝圣,2001,19048,3.8633714825703485,3.8548993503087345
6430,Ziggy Stardust and the Spiders from Mars,1973,3418,3.8992100643651257,3.852189586607347
141846,史蒂夫·乔布斯：机器人生,2015,803,4.052303860523039,3.852166443320062
3625,Better Living Through Circuitry,1999,3049,3.9016070842899313,3.8491400747513222
1145,Snowriders,1996,1725,3.9347826086956523,3.842924462242816
130980,O Dia Que Durou 21 Anos,2012,1834,3.9160305343511452,3.831192620864343
188393,Så meget godt i vente,2014,3040,3.8638157894736844,3.814012870327681
6941,Just an American Boy: A Film About Steve Earle,2003,1231,3.9272948822095857,3.8059106889193934
3226,Hellhounds on My Trail: The Afterlife of Robert Johnson,1999,26536,3.8114636719927644,3.805833393060347
3539,污秽与愤怒,2000,11517,3.7919597117304855,3.7795441090176096
142117,Banksy Does New York,2014,22271,3.780095191055633,3.7737383196160827
4455,Thrill Ride: The Science of Fun,1997,1397,3.8654259126700072,3.765519967188364
1462,Unforgotten: Twenty-Five Years After Willowbrook,1996,5505,3.7876475930971845,3.7624314256663953
143424,Radical Grace,2015,11359,3.760454265340259,3.748532126704827
6433,持摄影机的人,1929,1255,3.848605577689243,3.7419734930994695
170241,我们诞生在中国,2017,2643,3.7881195611048053,3.7378656966249064
26524,哈维·米尔克的时代,1984,1139,3.853819139596137,3.7373234028605236
202848,I Am Not a Freak,1987,11352,3.7480179704016914,3.7363503161569596
162,克鲁伯,1994,22340,3.739861235452104,3.7339584779559027
4769,战争存亡录,2000,6794,3.7523550191345305,3.7329807141455107
556,战略室,1993,21940,3.738263445761167,3.732271829523806
183281,Manbeast! Myth or Monster?,1978,469,4.005330490405117,3.727515099798183
8455,遥遥归乡路,1997,502,3.983067729083665,3.724823413077888
5740,Faces of Death: Fact or Fiction?,1999,680,3.9154411764705883,3.7248033183507623
191683,共生心理分类学：第二又二分之一章,2005,13014,3.7347471953281084,3.724786413196267
125599,寻找快乐,1978,438,4.006849315068493,3.7158625603461943
4171,Long Night's Journey Into Day,2000,1535,3.788273615635179,3.706699418862341
192923,The Rocky Mountain Fly Highway,2014,3339,3.7407906558849957,3.7035217042020947
183085,That Guy Dick Miller,2014,434,3.988479262672811,3.7023868232390926
6160,Amandla! A Revolution in Four-Part Harmony,2002,610,3.9057377049180326,3.702246213297546
2689,Get Bruce!,1999,1645,3.7732522796352583,3.6983685898126546
1420,Message to Love - The Isle of Wight Festival,1996,15787,3.70209666181035,3.6943558272195185
127170,Here Be Dragons,2013,694,3.8703170028818445,3.694262543876444
6400,周日早晨谋杀,2001,656,3.870426829268293,3.6869091846178943
1111,微观世界,1996,3496,3.7171052631578947,3.6829460604695465
1657,Wonderland,1997,21638,3.684536463628801,3.679061249710086
602,A Great Day in Harlem,1994,35723,3.6809198555552447,3.677613319602861
158149,Tonite Let's All Make Love in London,1967,1258,3.768680445151033,3.6752451838589244
154278,河中女孩：宽恕的代价,2015,4184,3.698255258126195,3.670442246196049
8979,Guerrilla: The Taking of Patty Hearst,2004,452,3.922566371681416,3.6669802674656675
5739,死亡真面目6,1996,1045,3.7698564593301436,3.6607589341785136
4304,Startup.com,2001,910,3.781318681318681,3.657034892682933
2604,Let It Come Down: The Life of Paul Bowles,1998,1122,3.7455436720142603,3.6469387014319947
3084,Home Page,1999,503,3.8667992047713717,3.6468785356842095
26762,Aileen Wuornos: The Selling of a Serial Killer,1993,8932,3.65461262875056,3.642351598316925
130638,Master of the Universe,2013,4077,3.664704439538877,3.638097261318238
6930,Girlhood,2003,520,3.8432692307692307,3.6357568928744826
8755,马丁·斯科塞斯的意大利电影之旅,1999,593,3.806070826306914,3.627500915359743
2061,Full Tilt Boogie,1997,4759,3.636688379911746,3.615074608466141
8998,娱乐世界,1974,682,3.7653958944281527,3.6147065509245193
6869,巴士174事件,2002,904,3.7234513274336285,3.610817305014028
1315,巴黎属于女性,1995,11415,3.6180026281208937,3.6091189867189386
3653,无尽之夏,1966,12569,3.6151245126899516,3.6070957828889494
6325,The Real Cancun,2003,7201,3.5999166782391336,3.5865974837012904
187271,Byzance,1964,929,3.6878363832077503,3.585011309595997
163124,"Poverty, Inc.",2014,2748,3.6188136826783115,3.5841304365495
180075,The Connected Universe,2016,5171,3.5904080448655966,3.5725241488746273
164081,告诉我,1980,1161,3.6455641688199827,3.567059264168046
4838,D.O.A.,1980,695,3.6928057553956832,3.563065246172635
163773,Los Punks: We Are All We Have,2016,841,3.6569560047562426,3.5527357291761335
6453,阿伦人,1934,1638,3.6013431013431014,3.548468791793892
1050,寻找理查三世,1996,9603,3.5569092991773403,3.5479047695903425
192967,足球,1897,330,3.8075757575757576,3.5465475020141195
2693,星舰家族,1997,1764,3.5892857142857144,3.541194355655431
128717,One Last Hug,2014,410,3.723170731707317,3.5255630980980195
1039,Synthetic Pleasures,1995,3204,3.5482209737827715,3.523120146797014
3237,Falkens öga,1998,1157,3.5916162489196197,3.5222828452220587
3679,西方文明的衰落,1981,401,3.7219451371571073,3.522043823497836
3193,Creature,1999,14669,3.5239280114527234,3.518521978552679
8753,Unprecedented: The 2000 Presidential Election,2002,443,3.6975169300225734,3.5185127600525536
140581,我是克里斯·法利,2015,666,3.6366366366366365,3.5178222705012137
985,Small Wonders,1995,372,3.721774193548387,3.512529652850819
7225,施瓦辛格健美之路,1977,244,3.8278688524590163,3.510693168352673
6784,永远的齐柏林飞船,1976,905,3.594475138121547,3.509328343042737
154274,Homegrown: The Counter-Terror Dilemma,2016,455,3.678021978021978,3.508895945859949
2981,"Brother, Can You Spare a Dime?",1975,1246,3.569422150882825,3.5078646081584592
26366,美国哈兰县,1976,279,3.774193548387097,3.503285403740162
3281,The Brandon Teena Story,1998,1612,3.549937965260546,3.503080962368591
7836,伍德斯托克音乐节1969,1970,1849,3.53677663601947,3.4967598022723863
26325,心灵与智慧,1974,425,3.6623529411764704,3.4913576474680186
8637,America's Heart and Soul,2004,337,3.7032640949554896,3.489188065673157
8375,竞选总统,2004,564,3.6152482269503547,3.487893893757555
5180,The Great Rock 'n' Roll Swindle,1980,946,3.5628964059196617,3.487158206853869
4961,色情明星：罗恩杰里米的传奇,2001,661,3.590015128593041,3.483114106249839
185671,nWo: The Revolution,2012,943,3.5572640509013786,3.482492220856028
6935,La revolución no será televisada,2003,901,3.5554938956714763,3.4783565643284757
207269,Veeran maaginen elämä,2019,478,3.6234309623430963,3.4781416428754914
200340,Z punktu widzenia nocnego portiera,1979,1043,3.5436241610738257,3.4772480700513637
183049,Emmanuel Macron : les coulisses d'une victoire,2017,312,3.690705128205128,3.4725148671872383
7171,一个连环杀手的生与死,2003,332,3.6762048192771086,3.4717331009654595
1856,Kurt & Courtney,1998,3805,3.488830486202365,3.471034395197852
3188,The Life and Times of Hank Greenberg,1998,611,3.5736497545008183,3.4651675627556777
4185,猫王,1970,1127,3.520851818988465,3.46259538012845
200654,George Stevens: A Filmmaker's Journey,1985,566,3.568904593639576,3.455825019945808
7140,The Legend of Leigh Bowery,2002,402,3.6144278606965172,3.4554462324397903
178899,Il dono,2003,793,3.5334174022698615,3.453440950970207
5783,Derrida,2002,508,3.5738188976377954,3.4504232262714156
206,拉链拉下来,1995,1213,3.5,3.448674170319907
2129,西藏：盐程万里,1997,2357,3.462664403903267,3.4374157117093826
206459,Breslin and Hamill: Deadline Artists,2018,4100,3.451219512195122,3.436744536407943
127441,在越南最后的日子,2014,480,3.553125,3.4319313068454482
143021,"Life, Love & Celluloid",1998,9616,3.434224209650582,3.428267572632465
208431,1964,2014,713,3.5049088359046285,3.4255154296302033
859,The Hippie Revolution,1996,5800,3.4299137931034482,3.4203703286161655
164113,Gumball 3000: The Movie,2003,449,3.5345211581291758,3.4144563725196306
151597,竞相灭绝,2015,1032,3.453972868217054,3.4041679201850346
6693,Venus Boyz,2001,298,3.5704697986577183,3.4007717087751006
126586,The Mark of Cain,2000,318,3.556603773584906,3.3989648863987627
126961,All In This Tea,2007,579,3.481865284974093,3.3963769941143434
144208,Bicycle Dreams,2009,18703,3.388894829706464,3.3863787547451367
7124,Grass,1999,874,3.4393592677345537,3.3857050681181615
1448,Fire on the Mountain,1996,1353,3.410938654841094,3.3777196406738295
207612,告诉我，我是谁,2019,7225,3.379861591695502,3.373774034831451
6896,浩劫,1985,472,3.4639830508474576,3.3718132208884137
193457,摩托车游世界,2013,317,3.503154574132492,3.3684817578540187
148636,Classic Albums: John Lennon - Plastic Ono Band,2008,323,3.498452012383901,3.3672279826386324
3718,American Pimp,1999,1114,3.4035008976660683,3.365771919113479
177183,围困城堡,2006,3969,3.372008062484253,3.36167060673062
165003,养鸡人,2016,1077,3.396935933147632,3.359362805568588
4301,Calle 54,2000,244,3.5225409836065573,3.3580292339264437
5239,Rude Boy,1980,2204,3.373638838475499,3.3556855662402385
157991,Ludwig van,1970,252,3.511904761904762,3.3552787624115012
3182,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999,3532,3.3642412231030576,3.3532092865879513
3002,我的魔鬼,1999,1234,3.3784440842787684,3.34791492974026
140078,"Video Nasties: Moral Panic, Censorship & Videotape",2010,8277,3.3461399057629575,3.341769541856132
8625,The Same River Twice,2003,259,3.474903474903475,3.3384060957377826
127150,时尚着装,2015,344,3.4302325581395348,3.33200385400698
2627,耐力,1999,1921,3.344091618948464,3.3271216009958913
192325,夏日爵士,1960,569,3.3769771528998245,3.3219166865388736
165695,Photographic Memory,2011,3821,3.3260926459042137,3.31813487482315
3297,With Byrd at the South Pole,1930,1903,3.332369942196532,3.3165897839571983
193813,"Love, Gilda",2018,473,3.372093023255814,3.3113225469401737
168982,Floyd Norman: An Animated Life,2016,1967,3.323589222165735,3.3092348557919964
26729,黑暗之心,1991,455,3.3692307692307693,3.3078945152447847
4458,非洲：塞伦盖蒂国家公园,1994,362,3.383977900552486,3.3072908682443964
4515,约翰·列侬的理想世界,1988,402,3.366915422885572,3.301421464637933
206143,No Maps for These Territories,2000,553,3.3354430379746836,3.2919928057165677
185363,Instant Dreams,2017,316,3.3607594936708862,3.287889760993044
581,赛璐路壁橱,1995,1276,3.304075235109718,3.2863278066816477
198461,Un día vi 10 000 elefantes,2015,2768,3.283056358381503,3.2758028772098617
168410,Spring Broke,2016,2255,3.2818181818181817,3.27319658509648
5619,审判基辛格,2002,466,3.2854077253218885,3.2538285438818373
363,图像的力量：莱尼·里芬施塔尔,1993,256,3.296875,3.246436532312209
181303,Horror Europa with Mark Gatiss,2012,1018,3.255893909626719,3.243833808364584
164107,校塔枪击案,2016,705,3.256737588652482,3.240482893736675
191095,铁笼斗士,2017,880,3.252840909090909,3.2399628702456447
411,Martin Lawrence: You So Crazy,1994,1993,3.2433517310587057,3.2379160778525278
6948,图派克：风华再现,2003,310,3.2629032258064514,3.23234344071499
4861,IMAX - 往和平号的任务,1997,1275,3.2372549019607844,3.230229273308825
193423,Emptying the Skies,2015,622,3.2411575562700965,3.2277347184250633
26446,Genocide,1982,6985,3.2287759484609877,3.2275858716497585
7699,¿Quién diablos es Juliette?,1997,925,3.235135135135135,3.226448474042861
197637,Beppie,1965,452,3.2389380530973453,3.2230147502242885
127443,玛纳卡玛纳,2013,887,3.2243517474633596,3.2176996164068123
108,Catwalk,1996,6015,3.2168744804655027,3.215963934519269
5914,弗农，佛罗里达,1981,267,3.2228464419475658,3.208842008133277
2824,On the Ropes,1999,546,3.2032967032967035,3.2002762862735503
5757,Historien om Kim Skov,1981,4524,3.182581786030062,3.1831414148817334
1147,一代拳王,1996,964,3.179460580912863,3.1822998892020733
4102,野马秀,1987,2998,3.1737825216811206,3.1752678180617226
185373,Muppet Guys Talking: Secrets Behind the Show the Whole World Watched,2017,539,3.166048237476809,3.1746082581814874
195391,草间弥生的生活,2018,496,3.1441532258064515,3.1604300894001414
171683,Sacco and Vanzetti,2006,509,3.137524557956778,3.155668348148877
1827,大家伙,1997,2132,3.1428236397748592,3.1480295732980235
6299,迁徙的鸟,2001,319,3.109717868338558,3.1460359967248746
180225,In the Face of Evil: Reagan's War in Word and Deed,2004,515,3.10873786407767,3.1359924455284647
202761,High Tech Soul: The Creation of Techno Music,2006,875,3.107428571428571,3.126200416582756
5385,最后华尔兹,1978,6922,3.1195463738803815,3.1220650664465674
3913,Barenaked in America,1999,3603,3.1151817929503194,3.1201503161310384
4856,IMAX - 宇宙心,1994,4108,3.1095423563777995,3.114250520716017
171563,The Pickaninny Dance from the “Passing Show”,1894,248,3.032258064516129,3.112232248284765
2538,Dancemaker,1998,875,3.084,3.1078804880751605
1169,American Dream,1990,3704,3.098137149028078,3.104031982309044
179951,Art of Conflict,2012,461,3.049891540130152,3.0996003775263894
165687,Howard Hawks: American Artist,1997,1373,3.0815731973780043,3.098465223349477
26581,谢尔曼的征程,1985,1655,3.0803625377643504,3.094901667275463
7823,Demon Lover Diary,1980,553,3.04249547920434,3.0887305723414107
170881,色情之后2,2017,777,3.0476190476190474,3.0824860589188097
7644,伊朗式离婚,1998,1540,3.0626623376623376,3.0805595662310004
4726,The Turandot Project,2000,582,3.027491408934708,3.0765354311817243
2198,调整,1998,6490,3.0642526964560863,3.068936481460663
7141,My Flesh and Blood,2003,498,3.0070281124497993,3.068353458431408
168272,Every Second Counts,2009,333,2.966966966966967,3.0627699586760913
5509,说唱烈士,2002,21079,3.0537027373215047,3.0553026434439854
4820,Won't Anybody Listen,2000,329,2.9498480243161094,3.0536095395394494
192275,Farmlands,2018,749,3.005340453938585,3.051579321405946
201931,成龙的传奇,1998,840,3.001190476190476,3.04448179534696
2677,乐士浮生录,1999,3697,3.0325939951311875,3.042557286515124
127831,Tintin et moi,2003,383,2.941253263707572,3.039423072019306
128407,世界残酷奇谭3,1985,352,2.921875,3.033084339188095
