movieId,title,year,vote_count,vote_average,wr
50,非常嫌疑犯,1995,55366,4.284353213163313,4.2792460574573
929,海外特派员,1940,20162,4.237947624243627,4.22465669110182
5755,祝我生日快乐,1981,22719,4.212267265284564,4.200757241161853
933,捉贼记,1955,16850,4.196617210682493,4.181409263881323
1252,唐人街,1974,32663,4.1805253650920005,4.172751793709803
928,蝴蝶梦,1940,15945,4.120821574161179,4.106031341762211
923,公民凯恩,1941,6499,4.1377134943837515,4.10161063766334
47,七宗罪,1995,50596,4.0791663372598626,4.074673219771363
1264,歌剧红伶,1981,21085,4.069599241166706,4.059018631175337
2841,灵异骇客,1999,3281,4.105150868637611,4.038823445276237
6132,纽约杀人狂,1982,17070,4.047393087287639,4.034709686404086
1269,毒药与老妇,1944,16371,4.042453118318979,4.029317413911768
2873,Lulu on the Bridge,1998,46713,4.009751032903046,4.00528688917064
2316,超异能快感,1998,2263,4.057224922669024,3.9693754558886045
3801,桃色血案,1959,5597,3.991245309987493,3.9563559567564357
958,Lady of Burlesque,1943,4827,3.994820799668531,3.95447168694258
1406,冷酷祭典,1995,1627,4.0620774431468964,3.9440970185984505
8972,国家宝藏,2004,2917,4.009770311964347,3.943976203029825
1284,夜长梦多,1946,6239,3.966821606026607,3.936389517039137
1212,第三人,1949,7301,3.955622517463361,3.929859406949191
931,爱德华大夫,1945,2118,4.017941454202077,3.929215319051855
1065,问题中的女人,1950,36716,3.9332307440897702,3.9281205651303757
29,童梦失魂夜,1995,8305,3.936724864539434,3.9145749376394368
3149,钻石,1999,3772,3.962089077412513,3.9134045527273225
32,十二猴子,1995,47054,3.9057678412037236,3.9019311998522754
3044,再续前世情,1991,1628,3.9527027027027026,3.850390445482466
533,魅影奇侠,1994,10037,3.8492079306565707,3.833080189217927
965,三十九级台阶,1935,3714,3.8764135702746363,3.8328458164968016
3476,异世浮生,1990,4497,3.860907271514343,3.825375462504625
144556,火车,2012,5667,3.845244397388389,3.8174283947235876
25852,煤气灯下,1940,22561,3.811112096095031,3.80428298662396
6923,福尔摩斯：恐怖之声,1942,3735,3.833868808567604,3.7934070411385385
2902,惊魂记2,1983,20475,3.7991697191697194,3.791809916463162
6581,福尔摩斯秘史,1970,637,4.0117739403453685,3.7801629345767145
2467,玫瑰之名,1986,6149,3.797202797202797,3.773502743237709
161438,黄水仙的秘密,1961,9043,3.7807143647019794,3.7648579750212234
1711,午夜善恶花园,1997,5224,3.791156202143951,3.763764717868029
2267,一念之差,1991,8552,3.780226847521048,3.763503016162273
3151,The Bat Whispers,1930,9992,3.745146116893515,3.7316949742957854
1130,破胆三次,1980,34602,3.7330790127738283,3.7292141598702986
7223,死亡漩涡,1950,1003,3.859421734795613,3.7267545323198936
183281,Manbeast! Myth or Monster?,1978,469,4.005330490405117,3.723493393403511
2024,灾难被提,1991,9913,3.728033894885504,3.71493368844593
130482,悔之已晚,1949,1431,3.7994409503843465,3.709685323569393
201865,Strange Confession,1945,1030,3.8320388349514563,3.707828076750781
4848,穆赫兰道,2001,13208,3.7150969109630525,3.705459174227141
1459,绝对权力,1997,11946,3.7138791227189016,3.7032728247597744
2058,王牌对王牌,1998,5038,3.7211194918618498,3.696342767675138
2219,谋杀,1930,24306,3.695939274253271,3.6908647711147613
4506,亡命夜巴黎,1988,999,3.8128128128128127,3.689671984289876
7068,去年在马里昂巴德,1961,372,4.006720430107527,3.6817776443719232
5419,史酷比,2002,536,3.900186567164179,3.6770542616629625
513,Radioland Murders,1994,15998,3.6811163895486936,3.673697376686813
177187,Women Who Kill,2016,1568,3.7417091836734695,3.66714643489433
176383,福音小镇,2008,2610,3.707471264367816,3.663096873062333
3081,断头谷,1999,633,3.8420221169036335,3.660267643618483
4146,百万美元酒店,2001,25024,3.663023497442455,3.658445616079452
4143,情人劫,2001,6239,3.6716621253405997,3.653514840582328
3503,飞向太空,1972,7172,3.668711656441718,3.652946605371382
7369,史酷比2：怪兽偷跑,2004,512,3.873046875,3.652466870743889
5008,控方证人,1957,2349,3.7005108556832695,3.652435709249768
4833,夺魄冤魂,1980,830,3.7873493975903614,3.6515726749161437
6924,福尔摩斯面对死亡,1943,2420,3.6975206611570246,3.6510150454110732
2346,复制娇妻,1975,555,3.8504504504504506,3.648766797565141
205291,复仇,2019,563,3.8454706927175843,3.647339692366362
1645,魔鬼代言人,1997,738,3.7886178861788617,3.64011986366909
126809,提心吊胆,1976,419,3.883054892601432,3.628812140660813
142266,圣歌,2003,296,3.9864864864864864,3.627654883938492
1092,本能,1992,8381,3.6400787495525595,3.627413350337083
9005,外星追缉令,1993,421,3.878859857482185,3.626994633208943
3445,神秘眼,1978,694,3.7737752161383287,3.6226736478044748
2810,未麻的部屋,1997,17806,3.6263619004829835,3.620505612752646
26628,神秘的背影,1988,1263,3.7003167062549487,3.6182397968962015
183649,默默,1986,1385,3.692418772563177,3.6176810510274637
6690,没有上帝的消息,2001,473,3.8308668076109935,3.6140855386100244
3788,放大,1966,2664,3.6447072072072073,3.60694353786229
2126,蛇眼,1998,2718,3.6317144959529064,3.595810882232532
26072,命案目睹记,1961,9921,3.6001411148069753,3.5904511831836823
3105,无语问苍天,1990,4404,3.6099000908265215,3.5882092720668517
2803,塘鹅暗杀令,1993,1708,3.6384660421545667,3.5833138464584393
2068,芬妮与亚历山大,1982,5870,3.593611584327087,3.5778175911624306
155064,霓虹恶魔,2016,424,3.795990566037736,3.5775220324468346
2184,怪尸案,1955,10628,3.5835058336469703,3.5748580309524245
2187,欲海惊魂,1950,3558,3.5909218662169757,3.565781463965037
1783,防不胜防,1998,4599,3.5841487279843443,3.56475917338965
185295,局外人,2018,18769,3.567504928339283,3.562782409431166
6140,黑暗,1982,3159,3.588952200063311,3.561042853816798
25903,混世魔王,1944,367,3.7970027247956404,3.5585844289504314
125884,The Case of the Curious Bride,1935,275,3.8727272727272726,3.556550849801132
8901,Flashpoint,1984,680,3.6838235294117645,3.5561269640348363
942,罗拉秘史,1944,1026,3.6296296296296298,3.54732174443805
154254,De Flat,1994,7574,3.5532083443358857,3.542240414081533
3849,哑女惊魂记,1945,1173,3.60613810741688,3.536617567401176
5787,关于查理的真相,2002,1495,3.5879598662207357,3.533904661201579
5127,蜻蜓,2002,325,3.7784615384615385,3.531670335512925
7006,超级赢家,1992,519,3.6859344894026975,3.5314879884156314
1327,鬼哭神嚎,1979,2090,3.5619617224880384,3.5245129869115943
201905,幻影,2019,424,3.7087264150943398,3.5242807920698294
194726,地球上最幸福的地方,2015,1249,3.582065652522018,3.5203124684686524
3798,危机四伏,2000,421,3.6947743467933494,3.51499232090314
4056,誓死追缉令,2001,1468,3.5640326975476837,3.512866348341774
1018,酷猫妙妙探,1965,2358,3.5438931297709924,3.512124207934319
2875,似是故人来,1993,2537,3.537248718959401,3.5081461338161035
188843,玄虚解语,2018,7532,3.5142060541688793,3.504533405500346
5679,午夜凶铃 美版,2002,805,3.594409937888199,3.5040651856024243
5712,凶线,1981,2501,3.5327868852459017,3.503742468821201
4927,最后大浪,1977,1581,3.5480708412397215,3.502361800506994
171815,群鸦之怒,2013,331,3.716012084592145,3.4997905747137263
